"figure_panel","scientific_owner_stage","owner_table","exported_by","AnimalID","Sex","CombZ","final_group","experimental_condition","n_components_present","classification_rule_id","n_control","control_reference_mean","control_reference_population_sd","susceptibility_threshold","sd_convention","in_early_window_analysis_set"
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR530","Female",0.284640044256628,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR531","Female",-0.0658106680237952,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR553","Female",-0.103064375500668,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR559","Female",0.167080746048373,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR560","Female",0.453434392175095,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR561","Female",0.132560789791484,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR562","Female",0.385958413887273,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR568","Female",-0.180897118248452,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR646","Female",0.0161825826219443,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR647","Female",0.033349472530636,"RES","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","1545","Female",-1.14084168441238,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","1546","Female",-1.65283291359378,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","1547","Female",-0.670690972715036,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","656","Female",-0.516925365474716,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
"1b","Analysis/build_later_outcome_combz.R","later_outcome_combz_animal_level.csv + combz_classification_thresholds.csv","Analysis/_supporting/build_figure1_panel_source_data.R","662","Female",-0.498664433612366,"SUS","SIS",6,"sus_if_combz_below_within_sex_control_mean_minus_1_population_sd",12,0.0421301601230308,0.264521004145974,-0.222390844022943,"population SD (n divisor), matching Excel STDEVPA",TRUE
