"figure_panel","scientific_owner_stage","owner_table","exported_by","AnimalID","Sex","Group","Movement_mean","CombZ"
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR130","Male","RES",2.82608695652174,0.590263662685027
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR131","Male","RES",2.83823529411765,0.595364775612003
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR134","Male","RES",2.67142857142857,-0.42633571795095
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR135","Male","RES",3.64285714285714,0.781922056997101
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR138","Male","RES",1.63768115942029,0.234467880404653
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR139","Male","RES",1.95652173913043,1.26774708093852
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR140","Male","RES",2.59722222222222,1.08703785401613
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR141","Male","RES",2.84285714285714,1.6495714850694
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR413","Female","CON",3.84507042253521,0.274921809196741
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR414","Female","CON",3.70422535211268,0.269081723406394
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR415","Female","CON",3.58571428571429,-0.426671159937746
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR416","Female","CON",2.83098591549296,-0.058557114043951
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR419","Female","RES",5.38028169014085,0.652539690649005
"1c","Analysis/09_early_prediction_model_ladder.R","primary_movement_entropyacf1_associations.csv + early_behavior_features_wide.csv","Analysis/_supporting/build_figure1_panel_source_data.R","OR420","Female","SUS",3.86111111111111,-0.519520369886668
