"writer","consumer_file","dependency_kind"
"annotate_module_microenvironment","analysis/integration/summarize_module_cross_compartment.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/summarize_module_cross_compartment.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/summarize_module_cross_compartment.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/test_enrichment_module_concordance.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/test_enrichment_module_concordance.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/test_enrichment_module_concordance.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/test_enrichment_module_concordance.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/test_enrichment_module_concordance.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/integration/test_module_behaviour_coupling.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/publication_source_data/08_export_manuscript_figures.R","DOWNSTREAM_ANALYSIS"
"annotate_module_microenvironment","analysis/publication_source_data/build_biological_claims_table.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/publication_source_data/build_biological_claims_table.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/publication_source_data/build_biological_claims_table.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/publication_source_data/build_biological_claims_table.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/publication_source_data/build_biological_claims_table.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/publication_source_data/build_biological_claims_table.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/publication_source_data/build_biological_claims_table.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/publication_source_data/build_biological_claims_table.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/publication_source_data/build_biological_claims_table.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/publication_source_data/build_biological_claims_table.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/publication_source_data/config/export_config.yml","CONFIG"
"annotate_module_microenvironment","analysis/qc/summarize_marker_detectability.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/qc/summarize_marker_detectability.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/qc/summarize_marker_detectability.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/qc/summarize_marker_detectability.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/qc/summarize_marker_detectability.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/spatial_validation/annotate_module_celltypes.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/spatial_validation/build_module_spatial_atlas.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/spatial_validation/build_module_spatial_atlas.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/spatial_validation/build_module_spatial_atlas.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/spatial_validation/build_module_spatial_atlas.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/spatial_validation/build_spatial_data_contract.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/spatial_validation/decompose_bilateral_variance.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/spatial_validation/quantify_bilateral_spatial_identity.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/spatial_validation/quantify_module_bilateral_identity.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/spatial_validation/summarize_ca2_slm_robustness.R","DOWNSTREAM_ANALYSIS"
"annotate_module_microenvironment","analysis/wgcna/adjudicate_module_labels.R","INDIRECT_READER_VIA_HELPER"
"annotate_module_microenvironment","analysis/wgcna/adjudicate_module_labels.R","INDIRECT_READER_VIA_HELPER"
