"old_path","new_path","expected_extension","source_of_truth","disambiguated","old_sha256","new_sha256","same_hash","old_bytes","new_bytes","same_size","new_name_chars","renamed"
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enrichmen__022b1ccc","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enric__022b1ccc.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/neuron_soma/microglia_signature_enrichment_summary.csv",FALSE,"dfd79636ea270abeaa5b0f6175148341836c55c6e9b91cc9573fc6318c569e5f","dfd79636ea270abeaa5b0f6175148341836c55c6e9b91cc9573fc6318c569e5f",TRUE,80,80,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enrichmen__1244aa35","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enric__1244aa35.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/neuron_soma/microglia_signature_enrichment_with_neuropil_reference.csv",FALSE,"dfd79636ea270abeaa5b0f6175148341836c55c6e9b91cc9573fc6318c569e5f","dfd79636ea270abeaa5b0f6175148341836c55c6e9b91cc9573fc6318c569e5f",TRUE,80,80,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enrichmen__3ec3c4fd","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enric__3ec3c4fd.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_enrichment_summary.csv",FALSE,"e51eab6a0cb50544f14dc20df4effa71639905d7b7b1b825c21e135207991f7b","e51eab6a0cb50544f14dc20df4effa71639905d7b7b1b825c21e135207991f7b",TRUE,6284,6284,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enrichmen__96e19466","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enric__96e19466.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/microglia_signature_enrichment_with_neuropil_reference.csv",FALSE,"2bb7d91187ffe58674dc69808becb8cbf914a1d1bffca7bbb0b2c31d442a3fd7","2bb7d91187ffe58674dc69808becb8cbf914a1d1bffca7bbb0b2c31d442a3fd7",TRUE,759697,759697,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enrichment_with_con","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_enrichment_with.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/microglia_signature_enrichment_with_contrast_class.csv",FALSE,"c5a38660d022f8e25e6b06628aed487894ea2a61cf07beddc914350176f7ce2c","c5a38660d022f8e25e6b06628aed487894ea2a61cf07beddc914350176f7ce2c",TRUE,880593,880593,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_interpretation_summ","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_interpretation_.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/microglia_signature_interpretation_summary.csv",FALSE,"e3345382b7b79a7e3d5c6a67d2117f0474797a3f284848706bed16ae7892c0a8","e3345382b7b79a7e3d5c6a67d2117f0474797a3f284848706bed16ae7892c0a8",TRUE,8810,8810,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_leading_edge_recurr","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_leading_edge_re.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/microglia_signature_leading_edge_recurrence.csv",FALSE,"821a76a1c2011e72133459dd45c59a67bc660c7240e902e4189b89983526dc05","821a76a1c2011e72133459dd45c59a67bc660c7240e902e4189b89983526dc05",TRUE,3658926,3658926,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_regional_pooled_sum","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_regional_pooled.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/microglia_signature_regional_pooled_summary.csv",FALSE,"f17b7292f95533421d29d9cb2b51bf73dab9424caa20f9ed9208fa69ac98961a","f17b7292f95533421d29d9cb2b51bf73dab9424caa20f9ed9208fa69ac98961a",TRUE,22007,22007,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_unclassified_techni","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_unclassified_te.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/microglia_signature_unclassified_technical.csv",FALSE,"5783ada3e5f3593b97c9d0955052471a874f6084e5cd0a49cd1b22b01b398082","5783ada3e5f3593b97c9d0955052471a874f6084e5cd0a49cd1b22b01b398082",TRUE,995,995,TRUE,96,TRUE
"pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_within_region_condi","pride_submission/supplementary_tables/results_tables_04_differential_expression_enrichment_all_microglia_signature_within_region_c.csv",".csv","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia_validation_proposed/microglia_signature_within_region_condition.csv",FALSE,"c7d4afb69d3eff46d11a0437efe0691509147ed9b2b20dd673fdf4a07dcc5c1a","c7d4afb69d3eff46d11a0437efe0691509147ed9b2b20dd673fdf4a07dcc5c1a",TRUE,160337,160337,TRUE,96,TRUE
