"path","name","area","role","classification","registered_in_pipeline","declared_outputs","writes_publication_source_data","code_callers","test_references","listed_as_legacy","human_invoked_entrypoint","documented_in_docs"
"analysis/differential_abundance/audit_stress_response_biology.R","audit_stress_response_biology.R","differential_abundance","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,5,TRUE,10,2,FALSE,TRUE,TRUE
"analysis/differential_abundance/build_go_program_atlas.R","build_go_program_atlas.R","differential_abundance","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,6,TRUE,13,4,FALSE,FALSE,TRUE
"analysis/differential_abundance/build_sus_res_dap_atlas.R","build_sus_res_dap_atlas.R","differential_abundance","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,6,TRUE,14,1,FALSE,TRUE,TRUE
"analysis/differential_abundance/compare_external_stress_signatures.R","compare_external_stress_signatures.R","differential_abundance","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,3,TRUE,9,1,FALSE,TRUE,TRUE
"analysis/differential_abundance/compare_go_enrichment.R","compare_go_enrichment.R","differential_abundance","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,2,FALSE,16,3,FALSE,FALSE,TRUE
"analysis/differential_abundance/run_clusterprofiler_enrichment.R","run_clusterprofiler_enrichment.R","differential_abundance","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,1,FALSE,15,5,FALSE,FALSE,TRUE
"analysis/differential_abundance/summarize_biological_programs.R","summarize_biological_programs.R","differential_abundance","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,1,FALSE,14,2,FALSE,TRUE,TRUE
"analysis/differential_abundance/test_microglia_targeted_signatures.R","test_microglia_targeted_signatures.R","differential_abundance","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,1,FALSE,12,2,FALSE,TRUE,TRUE
"analysis/differential_abundance/validate_control_spatial_identity.R","validate_control_spatial_identity.R","differential_abundance","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,4,TRUE,12,2,FALSE,FALSE,TRUE
"analysis/enrichment/run_ewce_celltype_enrichment.R","run_ewce_celltype_enrichment.R","enrichment","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,5,FALSE,14,2,FALSE,FALSE,TRUE
"analysis/integration/audit_animal_id_integrity.R","audit_animal_id_integrity.R","integration","AUDIT","CANONICAL_ENTRYPOINT",TRUE,3,FALSE,9,0,FALSE,TRUE,TRUE
"analysis/integration/build_candidate_protein_shortlist.R","build_candidate_protein_shortlist.R","integration","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,8,TRUE,10,2,FALSE,TRUE,TRUE
"analysis/integration/build_cross_compartment_atlas.R","build_cross_compartment_atlas.R","integration","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,7,TRUE,12,2,FALSE,TRUE,TRUE
"analysis/integration/build_evidence_priority_matrix.R","build_evidence_priority_matrix.R","integration","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,7,TRUE,13,1,FALSE,TRUE,TRUE
"analysis/integration/build_immunostaining_candidates.R","build_immunostaining_candidates.R","integration","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,4,TRUE,9,0,FALSE,TRUE,TRUE
"analysis/integration/export_module_protein_zoom_source_data.R","export_module_protein_zoom_source_data.R","integration","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,5,TRUE,11,2,FALSE,FALSE,TRUE
"analysis/integration/quantify_candidate_network_position.R","quantify_candidate_network_position.R","integration","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,7,TRUE,11,1,FALSE,TRUE,TRUE
"analysis/integration/render_module_circular_atlas.R","render_module_circular_atlas.R","integration","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,39,TRUE,11,3,FALSE,TRUE,TRUE
"analysis/integration/screen_immunostaining_panel.R","screen_immunostaining_panel.R","integration","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,6,TRUE,9,0,FALSE,TRUE,TRUE
"analysis/integration/screen_immunostaining_separation.R","screen_immunostaining_separation.R","integration","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,6,TRUE,9,0,FALSE,TRUE,TRUE
"analysis/integration/summarize_enrichment_module_concordance.R","summarize_enrichment_module_concordance.R","integration","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,4,TRUE,10,2,FALSE,TRUE,TRUE
"analysis/integration/summarize_module_cross_compartment.R","summarize_module_cross_compartment.R","integration","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,5,TRUE,10,2,FALSE,TRUE,TRUE
"analysis/integration/summarize_programs_for_manuscript.R","summarize_programs_for_manuscript.R","integration","SOURCE_DATA_EXPORTER","CANONICAL_ENTRYPOINT",TRUE,3,TRUE,11,1,FALSE,TRUE,TRUE
"analysis/integration/test_behaviour_proteomics_associations.R","test_behaviour_proteomics_associations.R","integration","ANALYSIS_ENTRYPOINT","CANONICAL_ENTRYPOINT",TRUE,3,FALSE,15,1,FALSE,FALSE,TRUE
