"old_path","new_path","old_sha256","new_sha256","owner","consumers_updated","migration_class"
"results/publication_source_data/extended_data_03/extended_data_03e_source_data.csv","exports/publication_source_data/extended_data_03/extended_data_03e_source_data.csv","eba7fa557bb5f18c38524b53c8196d1ddac46c506e03e8b2d4a588f878b9c6d8","eba7fa557bb5f18c38524b53c8196d1ddac46c506e03e8b2d4a588f878b9c6d8","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_05/assembled/extended_data_05.svg","exports/publication_source_data/extended_data_05/assembled/extended_data_05.svg","ff981d15c3dafe6dae6266a6c2d35bdd9702abf7220a51391420bb4d29352348","ff981d15c3dafe6dae6266a6c2d35bdd9702abf7220a51391420bb4d29352348","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_05/extended_data_05a_source_data.csv","exports/publication_source_data/extended_data_05/extended_data_05a_source_data.csv","1906b79584a80418236dfdd120df5151aefb20fd0a39b5c258c60fd56869ea73","1906b79584a80418236dfdd120df5151aefb20fd0a39b5c258c60fd56869ea73","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_05/extended_data_05b_source_data.csv","exports/publication_source_data/extended_data_05/extended_data_05b_source_data.csv","728830a7ed89a27f19fff01e187d8f71bb2753ea3629bf26a2774581a3246d4d","728830a7ed89a27f19fff01e187d8f71bb2753ea3629bf26a2774581a3246d4d","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_06/assembled/extended_data_06.svg","exports/publication_source_data/extended_data_06/assembled/extended_data_06.svg","a3cf343b073892eade34beb5e8af3a008efcdc68cffb271a99942f54dabe45a9","a3cf343b073892eade34beb5e8af3a008efcdc68cffb271a99942f54dabe45a9","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_06/extended_data_06a_source_data.csv","exports/publication_source_data/extended_data_06/extended_data_06a_source_data.csv","d0361f280e1b78e8ad0c4cd14ff61a32a1d2ae5f17974f120831be1716754301","d0361f280e1b78e8ad0c4cd14ff61a32a1d2ae5f17974f120831be1716754301","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_06/extended_data_06b_source_data.csv","exports/publication_source_data/extended_data_06/extended_data_06b_source_data.csv","b65e17d8c4fcf79c9538f70a0f1edc715a69029781ffcbe4fc013ab9c2335c6b","b65e17d8c4fcf79c9538f70a0f1edc715a69029781ffcbe4fc013ab9c2335c6b","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_06/extended_data_06c_source_data.csv","exports/publication_source_data/extended_data_06/extended_data_06c_source_data.csv","ad4d541cc62195d73d8605b09aa27ccee6a3075459552466b85ebb19cf36e0ed","ad4d541cc62195d73d8605b09aa27ccee6a3075459552466b85ebb19cf36e0ed","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_06/extended_data_06d_source_data.csv","exports/publication_source_data/extended_data_06/extended_data_06d_source_data.csv","3ceddac8e0359eb2d13d99e1321a22a2a5343ba6f034f30878bef5cdb7b45785","3ceddac8e0359eb2d13d99e1321a22a2a5343ba6f034f30878bef5cdb7b45785","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_06/extended_data_06e_source_data.csv","exports/publication_source_data/extended_data_06/extended_data_06e_source_data.csv","673c823087c14b23b80c2e14eea9e4d3e46abcadd79cc210481fd407a698feb4","673c823087c14b23b80c2e14eea9e4d3e46abcadd79cc210481fd407a698feb4","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_08/assembled/extended_data_08.svg","exports/publication_source_data/extended_data_08/assembled/extended_data_08.svg","259ae320ae8515e5fce25e082761d02e2833fc8692ad793b2bdf728081872281","259ae320ae8515e5fce25e082761d02e2833fc8692ad793b2bdf728081872281","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
"results/publication_source_data/extended_data_08/extended_data_08a_source_data.csv","exports/publication_source_data/extended_data_08/extended_data_08a_source_data.csv","eb656b9366eba8303d9eafb4e1fcb9fbc546bfe9e24552069df4dc018d1cfa65","eb656b9366eba8303d9eafb4e1fcb9fbc546bfe9e24552069df4dc018d1cfa65","analysis/publication_source_data/09_export_source_data.R","Exp9_manuscript/source_data/pRoteomics/manifest.csv","COPIED_TO_EXPORT_BOUNDARY_BYTE_IDENTICAL"
