"consumer_file","line_start","artifact_family","dataset_scope","artifact","old_resolved_path","new_resolved_path_today","same_path","runtime_composed_filename","normalized_exists","historical_exists","adjudication"
"analysis/spatial_validation/build_module_spatial_atlas.R",61,"identity_contract","neuron_soma","WGCNA_module_supermodule_membership_contract.csv","results/tables/06_modules_WGCNA/identity_contract/neuron_soma/WGCNA_module_supermodule_membership_contract.csv","results/tables/06_modules_WGCNA/identity_contract/neuron_soma/WGCNA_module_supermodule_membership_contract.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/spatial_validation/build_module_spatial_atlas.R",61,"identity_contract","microglia","WGCNA_module_supermodule_membership_contract.csv","results/tables/06_modules_WGCNA/identity_contract/microglia/WGCNA_module_supermodule_membership_contract.csv","results/tables/06_modules_WGCNA/identity_contract/microglia/WGCNA_module_supermodule_membership_contract.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/adjudicate_module_labels.R",65,"identity_contract","neuron_neuropil","WGCNA_module_supermodule_membership_contract.csv","results/tables/06_modules_WGCNA/identity_contract/neuron_neuropil/WGCNA_module_supermodule_membership_contract.csv","results/tables/06_modules_WGCNA/identity_contract/neuron_neuropil/WGCNA_module_supermodule_membership_contract.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/adjudicate_module_labels.R",65,"identity_contract","neuron_soma","WGCNA_module_supermodule_membership_contract.csv","results/tables/06_modules_WGCNA/identity_contract/neuron_soma/WGCNA_module_supermodule_membership_contract.csv","results/tables/06_modules_WGCNA/identity_contract/neuron_soma/WGCNA_module_supermodule_membership_contract.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/adjudicate_module_labels.R",65,"identity_contract","microglia","WGCNA_module_supermodule_membership_contract.csv","results/tables/06_modules_WGCNA/identity_contract/microglia/WGCNA_module_supermodule_membership_contract.csv","results/tables/06_modules_WGCNA/identity_contract/microglia/WGCNA_module_supermodule_membership_contract.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/audit_module_label_coherence.R",77,"identity_contract","neuron_neuropil","WGCNA_module_supermodule_membership_contract.csv","results/tables/06_modules_WGCNA/identity_contract/neuron_neuropil/WGCNA_module_supermodule_membership_contract.csv","results/tables/06_modules_WGCNA/identity_contract/neuron_neuropil/WGCNA_module_supermodule_membership_contract.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/audit_module_label_coherence.R",77,"identity_contract","neuron_soma","WGCNA_module_supermodule_membership_contract.csv","results/tables/06_modules_WGCNA/identity_contract/neuron_soma/WGCNA_module_supermodule_membership_contract.csv","results/tables/06_modules_WGCNA/identity_contract/neuron_soma/WGCNA_module_supermodule_membership_contract.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/wgcna/audit_module_label_coherence.R",77,"identity_contract","microglia","WGCNA_module_supermodule_membership_contract.csv","results/tables/06_modules_WGCNA/identity_contract/microglia/WGCNA_module_supermodule_membership_contract.csv","results/tables/06_modules_WGCNA/identity_contract/microglia/WGCNA_module_supermodule_membership_contract.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/publication_source_data/build_biological_claims_table.R",897,"microglia_neuropil_independence","microglia","microglia_neuropil_independence_effects.csv","results/tables/06_modules_WGCNA/microglia_neuropil_independence/microglia/microglia_neuropil_independence_effects.csv","results/tables/06_modules_WGCNA/microglia_neuropil_independence/microglia/microglia_neuropil_independence_effects.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/publication_source_data/build_biological_claims_table.R",898,"microglia_neuropil_independence","microglia","microglia_module_neuropil_independence_classification.csv","results/tables/06_modules_WGCNA/microglia_neuropil_independence/microglia/microglia_module_neuropil_independence_classification.csv","results/tables/06_modules_WGCNA/microglia_neuropil_independence/microglia/microglia_module_neuropil_independence_classification.csv",TRUE,FALSE,FALSE,TRUE,NA
"R/statistics/evidence_bundle_utils.R",146,"microglia_neuropil_independence","microglia","microglia_module_neuropil_independence_classification.csv","results/tables/06_modules_WGCNA/microglia_neuropil_independence/microglia/microglia_module_neuropil_independence_classification.csv","results/tables/06_modules_WGCNA/microglia_neuropil_independence/microglia/microglia_module_neuropil_independence_classification.csv",TRUE,FALSE,FALSE,TRUE,NA
"R/statistics/evidence_bundle_utils.R",442,"microglia_neuropil_independence","microglia","microglia_neuropil_independence_effects.csv","results/tables/06_modules_WGCNA/microglia_neuropil_independence/microglia/microglia_neuropil_independence_effects.csv","results/tables/06_modules_WGCNA/microglia_neuropil_independence/microglia/microglia_neuropil_independence_effects.csv",TRUE,FALSE,FALSE,TRUE,NA
"R/statistics/evidence_bundle_utils.R",601,"microglia_neuropil_independence","microglia","microglia_neuropil_independence_effects.csv","results/tables/06_modules_WGCNA/microglia_neuropil_independence/microglia/microglia_neuropil_independence_effects.csv","results/tables/06_modules_WGCNA/microglia_neuropil_independence/microglia/microglia_neuropil_independence_effects.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/build_cross_compartment_atlas.R",39,"module_complex_architecture","neuron_neuropil","module_complex_architecture.csv","results/tables/06_modules_WGCNA/module_complex_architecture/neuron_neuropil/module_complex_architecture.csv","results/tables/06_modules_WGCNA/module_complex_architecture/neuron_neuropil/module_complex_architecture.csv",TRUE,FALSE,FALSE,TRUE,NA
"analysis/integration/build_cross_compartment_atlas.R",39,"module_complex_architecture","neuron_soma","module_complex_architecture.csv","results/tables/06_modules_WGCNA/module_complex_architecture/neuron_soma/module_complex_architecture.csv","results/tables/06_modules_WGCNA/module_complex_architecture/neuron_soma/module_complex_architecture.csv",TRUE,FALSE,FALSE,TRUE,NA
