"domain","analysis_id","entrypoint","canonical_output","n_declared_outputs","actual_resolved_write_root","expected_write_root","n_layout_api_calls","n_legacy_writes","legacy_write","declared_normalized","migration_status"
"publication_source_data","build_biological_claims_table","analysis/publication_source_data/build_biological_claims_table.R","results/publication_source_data/build_biological_claims_table/global/tables/biological_claims_table.csv | results/publication_source_data/build_biological_claims_table/global/tables/biological_claims_table.xlsx | results/publication_source_data/build_biological_claims_table/global/tables/wgcna_stage13_claim_cardinality_audit.csv",4,"results/publication_source_data/build_biological_claims_table/","results/publication_source_data/build_biological_claims_table/",44,0,FALSE,TRUE,"MIGRATED"
"qc","assess_dataset_quality","analysis/qc/assess_dataset_quality.R","results/qc/assess_dataset_quality/<dataset>/tables/dataset_qc_report.xlsx | results/qc/assess_dataset_quality/<dataset>/reports/dataset_qc_summary.md",2,"results/qc/assess_dataset_quality/","results/qc/assess_dataset_quality/",1,0,FALSE,TRUE,"MIGRATED"
"qc","assess_joint_compartment_quality","analysis/qc/assess_joint_compartment_quality.R","results/qc/assess_joint_compartment_quality/global/tables | results/qc/assess_joint_compartment_quality/global/plots | results/qc/assess_joint_compartment_quality/global/reports/joint_compartment_qc_summary.md",4,"results/qc/assess_joint_compartment_quality/","results/qc/assess_joint_compartment_quality/",1,0,FALSE,TRUE,"MIGRATED"
"qc","assess_marker_rank_abundance","analysis/qc/assess_marker_rank_abundance.R","results/qc/assess_marker_rank_abundance/<dataset>/tables",1,"results/qc/assess_marker_rank_abundance/","results/qc/assess_marker_rank_abundance/",1,0,FALSE,TRUE,"MIGRATED"
"qc","assess_pca_confounding","analysis/qc/assess_pca_confounding.R","results/qc/assess_pca_confounding/<dataset>/tables",1,"results/qc/assess_pca_confounding/","results/qc/assess_pca_confounding/",1,0,FALSE,TRUE,"MIGRATED"
"qc","assess_replicate_consistency","analysis/qc/assess_replicate_consistency.R","results/qc/assess_replicate_consistency/<dataset>/tables/replicate_consistency.xlsx",1,"results/qc/assess_replicate_consistency/","results/qc/assess_replicate_consistency/",1,0,FALSE,TRUE,"MIGRATED"
"qc","assess_sample_quality","analysis/qc/assess_sample_quality.R","results/qc/assess_sample_quality/<dataset>/plots | results/qc/assess_sample_quality/<dataset>/tables/qc_summary_tables.xlsx",2,"results/qc/assess_sample_quality/","results/qc/assess_sample_quality/",3,0,FALSE,TRUE,"MIGRATED"
"qc","build_reference_marker_registry","analysis/qc/build_reference_marker_registry.R","config/marker_panels/wgcna_reference_marker_sets.csv | results/qc/build_reference_marker_registry/global/tables",2,"results/qc/build_reference_marker_registry/","results/qc/build_reference_marker_registry/",1,0,FALSE,TRUE,"MIGRATED"
"qc","discover_empirical_roi_markers","analysis/qc/discover_empirical_roi_markers.R","results/qc/discover_empirical_roi_markers/global/tables/empirical_roi_marker_sets.csv",1,"results/qc/discover_empirical_roi_markers/","results/qc/discover_empirical_roi_markers/",1,0,FALSE,TRUE,"MIGRATED"
"qc","export_marker_traits","analysis/qc/export_marker_traits.R","results/qc/export_marker_traits/<dataset>/tables",1,"results/qc/export_marker_traits/","results/qc/export_marker_traits/",1,0,FALSE,TRUE,"MIGRATED"
"qc","partition_variance","analysis/qc/partition_variance.R","results/qc/partition_variance/<dataset>/tables | results/qc/partition_variance/<dataset>/reports",2,"results/qc/partition_variance/","results/qc/partition_variance/",1,0,FALSE,TRUE,"MIGRATED"
"qc","render_joint_compartment_qc_figures","analysis/qc/render_joint_compartment_qc_figures.R","results/qc/render_joint_compartment_qc_figures/global/plots/publication_style/joint_compartment_qc_main_figure_183mm.svg | results/qc/render_joint_compartment_qc_figures/global/plots/publication_style/joint_compartment_qc_extended_data_figure_183mm.svg | results/qc/render_joint_compartment_qc_figures/global/plots/publication_style/panels",5,"results/qc/render_joint_compartment_qc_figures/","results/qc/render_joint_compartment_qc_figures/",3,0,FALSE,TRUE,"MIGRATED"
"qc","summarize_marker_detectability","analysis/qc/summarize_marker_detectability.R","results/qc/summarize_marker_detectability/<dataset>/tables",1,"results/qc/summarize_marker_detectability/","results/qc/summarize_marker_detectability/",5,0,FALSE,TRUE,"MIGRATED"
"qc","summarize_missingness","analysis/qc/summarize_missingness.R","results/qc/summarize_missingness/<dataset>/tables/missingness_diagnostics.xlsx",1,"results/qc/summarize_missingness/","results/qc/summarize_missingness/",1,0,FALSE,TRUE,"MIGRATED"
"qc","summarize_qc_confounding","analysis/qc/summarize_qc_confounding.R","results/qc/summarize_qc_confounding/<dataset>/reports",1,"results/qc/summarize_qc_confounding/","results/qc/summarize_qc_confounding/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_networks","build_differential_networks","analysis/spatial_networks/build_differential_networks.R","results/spatial_networks/build_differential_networks/<dataset>/tables/all_group_edges_long.csv | results/spatial_networks/build_differential_networks/<dataset>/tables/rewiring_summary_counts.csv | results/spatial_networks/build_differential_networks/<dataset>/tables/differential_networks_summary.xlsx",5,"results/spatial_networks/build_differential_networks/","results/spatial_networks/build_differential_networks/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_networks","build_spatial_networks","analysis/spatial_networks/build_spatial_networks.R","results/spatial_networks/build_spatial_networks/<dataset>/models/*/network_spatial_relations_objects.rds | results/spatial_networks/build_spatial_networks/<dataset>/tables | results/spatial_networks/build_spatial_networks/<dataset>/plots",5,"results/spatial_networks/build_spatial_networks/","results/spatial_networks/build_spatial_networks/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_networks","render_differential_network_figures","analysis/spatial_networks/render_differential_network_figures.R","results/spatial_networks/render_differential_network_figures/<dataset>/plots | results/spatial_networks/render_differential_network_figures/<dataset>/manifests",2,"results/spatial_networks/render_differential_network_figures/","results/spatial_networks/render_differential_network_figures/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_networks","render_network_chord_diagram","analysis/spatial_networks/render_network_chord_diagram.R","results/spatial_networks/render_network_chord_diagram/<dataset>/plots | results/spatial_networks/render_network_chord_diagram/<dataset>/manifests",2,"results/spatial_networks/render_network_chord_diagram/","results/spatial_networks/render_network_chord_diagram/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_networks","test_differential_network_stability","analysis/spatial_networks/test_differential_network_stability.R","results/spatial_networks/test_differential_network_stability/<dataset>/tables/bootstrap_differential_edge_stability_summary.csv | results/spatial_networks/test_differential_network_stability/<dataset>/tables | results/spatial_networks/test_differential_network_stability/<dataset>/plots",4,"results/spatial_networks/test_differential_network_stability/","results/spatial_networks/test_differential_network_stability/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_networks","test_network_stability","analysis/spatial_networks/test_network_stability.R","results/spatial_networks/test_network_stability/<dataset>/tables | results/spatial_networks/test_network_stability/<dataset>/plots | results/spatial_networks/test_network_stability/<dataset>/manifests",3,"results/spatial_networks/test_network_stability/","results/spatial_networks/test_network_stability/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_validation","annotate_module_celltypes","analysis/spatial_validation/annotate_module_celltypes.R","results/spatial_validation/annotate_module_celltypes/global/tables/WGCNA_module_external_celltype_affinity_long.csv | results/spatial_validation/annotate_module_celltypes/global/tables/WGCNA_module_external_celltype_affinity_summary.csv",2,"results/spatial_validation/annotate_module_celltypes/","results/spatial_validation/annotate_module_celltypes/",1,0,FALSE,TRUE,"MIGRATED"
"spatial_validation","audit_ca2_slm_robustness","analysis/spatial_validation/audit_ca2_slm_robustness.R","results/spatial_validation/audit_ca2_slm_robustness/global/tables/CA2_SLM_DAP_robustness.csv | results/spatial_validation/audit_ca2_slm_robustness/global/tables/CA2_SLM_leave_one_animal_out_long.csv | results/spatial_validation/audit_ca2_slm_robustness/global/tables/CA2_SLM_fully_observed_DAP_audit.csv",6,"results/spatial_validation/audit_ca2_slm_robustness/","results/spatial_validation/audit_ca2_slm_robustness/",1,0,FALSE,TRUE,"MIGRATED"
